GENUS_CODE,SPCODE,TAXONNAME
ACAS,ABRE,Acanthastrea brevis
ACAS,ACAS,Acanthastrea sp
ACAS,AECH,Acanthastrea echinata
ACAS,AHEM,Acanthastrea hemprichii
ACAS,AISH,Acanthastrea ishigakiensis
ACAS,AREG,Acanthastrea regularis
ACSP,AABR,Acropora abrotanoides
ACSP,AACU,Acropora aculeus
ACSP,AASP,Acropora aspera
ACSP,ACAC,Acropora acuminata
ACSP,ACER,Acropora cerealis
ACSP,ACLA,Acropora clathrata
ACSP,ACPA,Acropora palmerae
ACSP,ACSP,Acropora sp
ACSP,ACYT,Acropora cytherea
ACSP,ADIG,Acropora digitifera
ACSP,AFOR,Acropora formosa
ACSP,AGEM,Acropora gemmifera
ACSP,AGLO,Acropora globiceps
ACSP,AHUM,Acropora humilis
ACSP,AHYA,Acropora hyacinthus
ACSP,AINT,Acropora intermedia
ACSP,AMIC,Acropora microclados
ACSP,AMON,Acropora monticulosa
ACSP,ANAS,Acropora nasuta
ACSP,ANOB,Acropora nobilis
ACSP,APAL,Acropora palifera
ACSP,APAN,Acropora paniculata
ACSP,ARET,Acropora retusa
ACSP,AROB,Acropora robusta
ACSP,ARUD,Acropora rudis
ACSP,ASAM,Acropora samoensis
ACSP,ASPE,Acropora speciosa
ACSP,ASTR,Acropora striata
ACSP,ASUR,Acropora surculosa
ACSP,ATEN,Acropora tenuis
ACSP,AVAL,Acropora valida
ACSP,AVER,Acropora verweyi
ALSP,ALSP,Alveopora sp
ALSP,ALVE,Alveopora verrilliana
ASSP,AGRA,Astreopora gracilis
ASSP,ALIS,Astreopora listeri
ASSP,AMYR,Astreopora myriophthalma
ASSP,ARAN,Astreopora randalli
ASSP,ASSP,Astreopora sp
ASTS,AANN,Astrea annuligera
ASTS,ACUR,Astrea curta
ASTS,ASTS,Astrea sp
BASP,BASP,Balanophyllia sp
CALG,CALG,Crustose Coralline Algae
CASP,CASP,Caulastrea sp
CLSP,CLSP,Cladiella sp
COES,CMAY,Coeloseris mayeri
COSP,CCOL,Coscinaraea columna
COSP,CEXE,Coscinaraea exesa
COSP,COSP,Coscinaraea sp
CTSP,CTSP,Ctenactis sp
CYPS,CCHA,Cyphastrea chalcidicum
CYPS,CMIC,Cyphastrea microphthalma
CYPS,COCE,Cyphastrea ocellina
CYPS,CSER,Cyphastrea serailia
CYPS,CYPS,Cyphastrea sp
CYSP,CYSP,Cycloseris sp
CYSP,CVAU,Cycloseris vaughani
DESP,DESP,Dendronephthya sp
DIAS,DIAS,Diaseris sp
DISP,DHEL,Diploastrea heliopora
ECHL,ECHL,Echinophyllia sp
ECHL,EECH,Echinophyllia echinata
ECHP,ECHP,Echinopora sp
ECHP,EGEM,Echinopora gemmacea
ECHP,ELAM,Echinopora lamellosa
ECHP,EPAC,Echinopora pacificus
EUSP,ECRI,Euphyllia cristata
EUSP,EUSP,Euphyllia sp
FASP,FASP,Favia sp
FASP,FDAN,Favia danae
FASP,FFAV,Favia favus
FASP,FHEL,Favia helianthoides
FASP,FMAT,Favia matthaii
FASP,FPAL,Favia pallida
FASP,FROT,Favia rotumana
FASP,FSTE,Favia stelligera
FAVS,FABD,Favites abdita
FAVS,FAVS,Favites sp
FAVS,FFLE,Favites flexuosa
FUSP,FGRA,Fungia granulosa
FUSP,FSCU,Fungia scutaria
FUSP,FUDA,Fungia danai
FUSP,FUSP,Fungia sp
GARS,GPLA,Gardineroseris planulata
GASP,GAAS,Galaxea astreata
GASP,GASP,Galaxea sp
GASP,GFAS,Galaxea fascicularis
GONS,GEDW,Goniastrea edwardsi
GONS,GONS,Goniastrea sp
GONS,GPEC,Goniastrea pectinata
GONS,GRET,Goniastrea retiformis
GOSP,GFRU,Goniopora fruticosa
GOSP,GMIN,Goniopora minor
GOSP,GOSP,Goniopora sp
HASP,HASP,Halomitra sp
HERS,HERS,Herpolitha sp
HERS,HLIM,Herpolitha limax
HESP,HCOE,Heliopora coerulea
HESP,HESP,Heliopora sp
HYSP,HEXE,Hydnophora exesa
HYSP,HMIC,Hydnophora microconos
HYSP,HRIG,Hydnophora rigida
HYSP,HYSP,Hydnophora sp
ISSP,ICRA,Isopora crateriformis
ISSP,IPAL,Isopora palifera
ISSP,ISSP,Isopora sp
LEPA,LEPA,Leptoseris/Pachyseris/Gardineroseris/Coeloseris
LEPS,LPHY,Leptoria phrygia
LEPT,LBEW,Leptastrea bewickensis
LEPT,LEPT,Leptastrea sp
LEPT,LINA,Leptastrea inaequalis
LEPT,LPRU,Leptastrea pruinosa
LEPT,LPUR,Leptastrea purpurea
LEPT,LTRA,Leptastrea transversa
LESP,LESP,Leptoseris sp
LESP,LINC,Leptoseris incrustans
LESP,LMYC,Leptoseris mycetoseroides
LESP,LTUB,Leptoseris tubulifera
LOBP,LOBP,Lobophytum sp
LOBS,LHEM,Lobophyllia hemprichii
LOBS,LOBS,Lobophyllia sp
MESP,MAMP,Merulina ampliata
MESP,MESP,Merulina sp
MESP,MSCA,Merulina scabricula
MISP,MDIC,Millepora dichotoma
MISP,MISP,Millepora sp
MISP,MITU,Millepora tuberosa
MOAS,MOAS,Montipora/Astreopora
MONS,MANN,Montastraea annuligera
MONS,MCUR,Montastraea curta
MONS,MONS,Montastraea sp
MONS,MVAL,Montastraea valenciennesi
MOSP,MAEQ,Montipora aequituberculata
MOSP,MANG,Montipora angulata
MOSP,MCAL,Montipora caliculata
MOSP,MCAP,Montipora capitata
MOSP,MFLA,Montipora flabellata
MOSP,MFOV,Montipora foveolata
MOSP,MGRI,Montipora grisea
MOSP,MHOF,Montipora hoffmeisteri
MOSP,MINC,Montipora incrassata
MOSP,MOSP,Montipora sp
MOSP,MOVR,Montipora verrucosa
MOSP,MPAT,Montipora patula
MOSP,MSOC,Montipora socialis
MOSP,MTUB,Montipora tuberculosa
MOSP,MTUR,Montipora turgescens
MOSP,MVER,Montipora verrilli
MYSP,MELE,Mycedium elephantotus
MYSP,MYSP,Mycedium sp
OUSP,OCRI,Oulophyllia crispa
OUSP,OUSP,Oulophyllia sp
OXSP,OXSP,Oxypora sp
PACS,PACS,Pachyseris sp
PACS,PRUG,Pachyseris rugosa
PACS,PSPE,Pachyseris speciosa
PALS,PRAM,Palauastrea ramosa
PARA,PAAU,Parascolymia australis
PARA,PARA,Parascolymia sp
PASP,PASP,Palythoa sp
PAVS,PAVS,Pavona sp
PAVS,PCAC,Pavona cactus
PAVS,PCHI,Pavona chiriquiensis
PAVS,PCLA,Pavona clavus
PAVS,PDEC,Pavona decussata
PAVS,PDIF,Pavona diffluens
PAVS,PDUE,Pavona duerdeni
PAVS,PEXP,Pavona explanulata
PAVS,PMAL,Pavona maldivensis
PAVS,PVAR,Pavona varians
PAVS,PVEN,Pavona venosa
PESP,PESP,Pectinia sp
PESP,PPAE,Pectinia paeonia
PHSP,PCOL,Phymastrea colemani
PHSP,PHSP,Phymastrea sp
PHSP,PVAL,Phymastrea valenciennesi
PLER,PLER,Plerogyra sp
PLER,PSIN,Plerogyra sinuosa
PLES,PLES,Plesiastrea sp
PLES,PLVE,Plesiastrea versipora
PLSP,PLDA,Platygyra daedalea
PLSP,PLSP,Platygyra sp
PLSP,PPIN,Platygyra pini
POCS,PANK,Pocillopora ankeli
POCS,PCAP,Pocillopora capitata
POCS,PDAM,Pocillopora damicornis
POCS,PDAN,Pocillopora danae
POCS,PELE,Pocillopora elegans
POCS,PEYD,Pocillopora eydouxi
POCS,PGRA,Pocillopora grandis
POCS,PLIG,Pocillopora ligulata
POCS,PMEA,Pocillopora meandrina
POCS,PMOL,Pocillopora molokensis
POCS,POCS,Pocillopora sp
POCS,PSET,Pocillopora setchelli
POCS,PVER,Pocillopora verrucosa
POCS,PWOO,Pocillopora woodjonesi
PODS,PCRU,Podabacia crustacea
PODS,PODS,Podabacia sp
POLY,POLY,Polyphyllia sp
POSP,PANA,Porites annae
POSP,PAUS,Porites australiensis
POSP,PBER,Porites bernardi
POSP,PBRI,Porites brighami
POSP,PCOM,Porites compressa
POSP,PCYL,Porites cylindrica
POSP,PDEN,Porites densa
POSP,PEVE,Porites evermanni
POSP,PHOR,Porites horizontalata
POSP,PLIC,Porites lichen
POSP,PLOB,Porites lobata
POSP,PLUT,Porites lutea
POSP,PMON,Porites monticulosa
POSP,PMOR,Porites mordax
POSP,PMUR,Porites murrayensis
POSP,PODU,Porites duerdeni
POSP,POSP,Porites sp
POSP,PRUS,Porites rus
POSP,PSOL,Porites solida
POSP,PVAU,Porites vaughani
PRSP,PRSP,Protopalythoa sp
PSSP,PCON,Psammocora contigua
PSSP,PDIG,Psammocora digitata
PSSP,PHAI,Psammocora haimeana
PSSP,PNIE,Psammocora nierstraszi
PSSP,PPRO,Psammocora profundacella
PSSP,PSSP,Psammocora sp
PSSP,PSTE,Psammocora stellata
PSSP,PSUP,Psammocora superficialis
RHSP,RHSP,Rhodactis sp
SARS,SARS,Sarcophyton sp
SASP,SASP,Sandalolitha sp
SCAS,SCAS,Scapophyllia sp
SCAS,SCYL,Scapophyllia cylindrica
SCSP,SCSP,Scolymia sp
SESP,SESP,Seriatopora sp
SISP,SISP,Sinularia sp
SRSP,SEDM,Sarcothelia edmondsoni
STSP,SARM,Stylocoeniella armata
STSP,SGUE,Stylocoeniella guentheri
STSP,STSP,Stylocoeniella sp
STYL,STYL,Stylaster sp
STYS,SPIS,Stylophora pistillata
STYS,STYS,Stylophora sp
SYSP,SYSP,Symphyllia sp
TUBA,TUBA,Tubastraea/Balanophyllia
TURS,TMES,Turbinaria mesenterina
TURS,TPEL,Turbinaria peltata
TURS,TREN,Turbinaria reniformis
TURS,TSTE,Turbinaria stellulata
TURS,TURS,Turbinaria sp
TUSP,TUSP,Tubastraea sp
